"Guid","AnnualRevenue","City","Company","Control__c","ConvertedDate","Country","CurrencyIsoCode","Description","DoNotCall","Email","EmailBouncedReason","Email_1__c","Encrypted__c","Fax","FirstName","GeocodeAccuracy","HasOptedOutOfEmail","HasOptedOutOfFax","Hello_Test__c","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","MD_784__c","MiddleName","MobilePhone","NumberOfEmployees","Phone","PostalCode","Rating","Rich_Text_Area_Test__c","SFSSDupeCatcher__Override_DupeCatcher__c","Salutation","State","Status","Street","Suffix","Title","Website"
016a4002-63e1-4e83-a3a0-6ebb251044f9,"#N/A","#N/A",Highland Manufacturing Ltd.,"#N/A","#N/A",USA,USD,"#N/A",false,sandra_e@highland.net,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Sandra,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Eberhard,"#N/A",Purchased List,"#N/A","#N/A","#N/A","#N/A","#N/A",(626) 440-0700,"#N/A","#N/A","#N/A",false,Ms,CA,Working - Contacted,"#N/A","#N/A","VP, Production","#N/A"
0283436f-9516-456d-a84c-91f92548a355,"#N/A","#N/A",Ace Iron and Steel Inc.,"#N/A","#N/A",USA,USD,"#N/A",false,carolync@aceis.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Carolyn,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Crenshaw,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A","#N/A","#N/A",(251) 679-2200,"#N/A","#N/A","#N/A",false,Ms,AL,Closed - Not Converted,"#N/A","#N/A","VP, Technology","#N/A"
064b597d-ec24-464a-9289-8c89ce191eb9,9.0075E8,Tallahassee,Farmers Coop. of Florida,"#N/A","#N/A",USA,USD,"#N/A",false,bertha@fcof.net,"#N/A",avanish.kumar@simplyforce.com,"#N/A",(850) 644-4300,Bertha,"#N/A",false,false,"#N/A",Agriculture,false,true,"#N/A",Boxer,"#N/A",Web,"#N/A","#N/A","#N/A","#N/A","#N/A",(850) 644-4200,32306,Hot,"#N/A",false,Ms.,FL,Working - Contacted,321 Westcott Building,"#N/A",Director of Vendor Relations,"#N/A"
065d10d1-0eb1-4a5d-8cec-fc8d80e11da5,"#N/A","#N/A",Dickenson plc,"#N/A","#N/A",USA,USD,"#N/A",false,a_young@dickenson.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Andy,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Young,"#N/A",Purchased List,"#N/A","#N/A","#N/A","#N/A","#N/A",(620) 241-6200,"#N/A","#N/A","#N/A",false,Mr,KS,Closed - Converted,"#N/A","#N/A","SVP, Operations","#N/A"
067ab3cb-db76-45f7-935b-485be140ff6b,"#N/A","#N/A",Jackson Controls,"#N/A","#N/A",Taiwan,USD,"#N/A",false,jeffg@jackson.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Jeff,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Glimpse,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A","#N/A","#N/A",886-2-25474189,"#N/A","#N/A","#N/A",false,Mr,"#N/A",Open - Not Contacted,"#N/A","#N/A","SVP, Procurement","#N/A"
0742fe17-4d69-463d-ac75-f76b083a40f2,"#N/A","#N/A",Aethna Home Products,"#N/A","#N/A",USA,USD,"#N/A",false,kakin@athenahome.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Kristen,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Akin,"#N/A",Partner Referral,"#N/A","#N/A","#N/A","#N/A","#N/A",(434) 369-3100,"#N/A","#N/A","#N/A",false,Ms,VA,Working - Contacted,"#N/A","#N/A","Director, Warehouse Mgmt","#N/A"
082e8345-ae78-4f86-92d7-e15066f34009,"#N/A","#N/A",Greenwich Media,"#N/A","#N/A",USA,USD,"#N/A",false,norm_may@greenwich.net,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Norm,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",May,"#N/A",Web,"#N/A","#N/A","#N/A","#N/A","#N/A",(419) 289-3555,"#N/A","#N/A","#N/A",false,Mr,OH,Working - Contacted,"#N/A","#N/A","VP, Facilities","#N/A"
08e9b84c-b053-4892-8dec-fb720f0e19b8,"#N/A","#N/A",Ace Iron and Steel Inc.,"#N/A","#N/A",USA,USD,"#N/A",false,carolync@aceis.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Carolyn,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Crenshaw,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A","#N/A","#N/A",(251) 679-2200,"#N/A","#N/A","#N/A",false,Ms,AL,Closed - Not Converted,"#N/A","#N/A","VP, Technology","#N/A"
0bd88c85-ebbf-4d76-be1f-4e90c5d1a929,"#N/A","#N/A",Blues Entertainment Corp.,"#N/A","#N/A",Japan,USD,"#N/A",false,david@blues.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",David,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Monaco,"#N/A",Purchased List,"#N/A","#N/A","#N/A","#N/A","#N/A",(033) 452-1299,"#N/A","#N/A","#N/A",false,Mr,"#N/A",Working - Contacted,"#N/A","#N/A",CFO,"#N/A"
1344b11c-5d5a-4d83-80e8-47e36862732d,"#N/A","#N/A",American Banking Corp.,"#N/A","#N/A",USA,USD,"#N/A",false,bblair@abankingco.com,"#N/A",avanish.kumar@simplyforce.com,"#N/A","#N/A",Betty,"#N/A",false,false,"#N/A","#N/A",false,true,"#N/A",Bair,"#N/A",Purchased List,"#N/A","#N/A","#N/A","#N/A","#N/A",(610) 265-9100,"#N/A","#N/A","#N/A",false,Ms,PA,Working - Contacted,"#N/A","#N/A","VP, Administration","#N/A"
